xmin	xmax	clickSelects	PANEL
0.5	1.5	modèle linéaire 1	1
10.5	11.5	modèle linéaire 11	1
20.5	21.5	modèle linéaire 21	1
30.5	31.5	modèle linéaire 31	1
40.5	41.5	modèle linéaire 41	1
50.5	51.5	modèle linéaire 51	1
60.5	61.5	modèle linéaire 61	1
70.5	71.5	modèle linéaire 71	1
80.5	81.5	modèle linéaire 81	1
90.5	91.5	modèle linéaire 91	1
100.5	101.5	modèle linéaire 101	1
111.5	112.5	modèle linéaire 112	1
121.5	122.5	modèle linéaire 122	1
131.5	132.5	modèle linéaire 132	1
141.5	142.5	modèle linéaire 142	1
151.5	152.5	modèle linéaire 152	1
161.5	162.5	modèle linéaire 162	1
171.5	172.5	modèle linéaire 172	1
181.5	182.5	modèle linéaire 182	1
191.5	192.5	modèle linéaire 192	1
201.5	202.5	modèle linéaire 202	1
211.5	212.5	modèle linéaire 212	1
222.5	223.5	modèle linéaire 223	1
232.5	233.5	modèle linéaire 233	1
242.5	243.5	modèle linéaire 243	1
252.5	253.5	modèle linéaire 253	1
262.5	263.5	modèle linéaire 263	1
272.5	273.5	modèle linéaire 273	1
282.5	283.5	modèle linéaire 283	1
292.5	293.5	modèle linéaire 293	1
302.5	303.5	modèle linéaire 303	1
312.5	313.5	modèle linéaire 313	1
322.5	323.5	modèle linéaire 323	1
333.5	334.5	modèle linéaire 334	1
343.5	344.5	modèle linéaire 344	1
353.5	354.5	modèle linéaire 354	1
363.5	364.5	modèle linéaire 364	1
373.5	374.5	modèle linéaire 374	1
383.5	384.5	modèle linéaire 384	1
393.5	394.5	modèle linéaire 394	1
403.5	404.5	modèle linéaire 404	1
413.5	414.5	modèle linéaire 414	1
423.5	424.5	modèle linéaire 424	1
433.5	434.5	modèle linéaire 434	1
444.5	445.5	modèle linéaire 445	1
454.5	455.5	modèle linéaire 455	1
464.5	465.5	modèle linéaire 465	1
474.5	475.5	modèle linéaire 475	1
484.5	485.5	modèle linéaire 485	1
494.5	495.5	modèle linéaire 495	1
504.5	505.5	modèle linéaire 505	1
514.5	515.5	modèle linéaire 515	1
524.5	525.5	modèle linéaire 525	1
534.5	535.5	modèle linéaire 535	1
544.5	545.5	modèle linéaire 545	1
555.5	556.5	modèle linéaire 556	1
565.5	566.5	modèle linéaire 566	1
575.5	576.5	modèle linéaire 576	1
585.5	586.5	modèle linéaire 586	1
595.5	596.5	modèle linéaire 596	1
605.5	606.5	modèle linéaire 606	1
615.5	616.5	modèle linéaire 616	1
625.5	626.5	modèle linéaire 626	1
635.5	636.5	modèle linéaire 636	1
645.5	646.5	modèle linéaire 646	1
655.5	656.5	modèle linéaire 656	1
666.5	667.5	modèle linéaire 667	1
676.5	677.5	modèle linéaire 677	1
686.5	687.5	modèle linéaire 687	1
696.5	697.5	modèle linéaire 697	1
706.5	707.5	modèle linéaire 707	1
716.5	717.5	modèle linéaire 717	1
726.5	727.5	modèle linéaire 727	1
736.5	737.5	modèle linéaire 737	1
746.5	747.5	modèle linéaire 747	1
756.5	757.5	modèle linéaire 757	1
766.5	767.5	modèle linéaire 767	1
777.5	778.5	modèle linéaire 778	1
787.5	788.5	modèle linéaire 788	1
797.5	798.5	modèle linéaire 798	1
807.5	808.5	modèle linéaire 808	1
817.5	818.5	modèle linéaire 818	1
827.5	828.5	modèle linéaire 828	1
837.5	838.5	modèle linéaire 838	1
847.5	848.5	modèle linéaire 848	1
857.5	858.5	modèle linéaire 858	1
867.5	868.5	modèle linéaire 868	1
877.5	878.5	modèle linéaire 878	1
888.5	889.5	modèle linéaire 889	1
898.5	899.5	modèle linéaire 899	1
908.5	909.5	modèle linéaire 909	1
918.5	919.5	modèle linéaire 919	1
928.5	929.5	modèle linéaire 929	1
938.5	939.5	modèle linéaire 939	1
948.5	949.5	modèle linéaire 949	1
958.5	959.5	modèle linéaire 959	1
968.5	969.5	modèle linéaire 969	1
978.5	979.5	modèle linéaire 979	1
988.5	989.5	modèle linéaire 989	1
999.5	1000.5	modèle linéaire 1000	1
0.5	1.5	réseau de neurones 1	2
10.5	11.5	réseau de neurones 11	2
20.5	21.5	réseau de neurones 21	2
30.5	31.5	réseau de neurones 31	2
40.5	41.5	réseau de neurones 41	2
50.5	51.5	réseau de neurones 51	2
60.5	61.5	réseau de neurones 61	2
70.5	71.5	réseau de neurones 71	2
80.5	81.5	réseau de neurones 81	2
90.5	91.5	réseau de neurones 91	2
100.5	101.5	réseau de neurones 101	2
111.5	112.5	réseau de neurones 112	2
121.5	122.5	réseau de neurones 122	2
131.5	132.5	réseau de neurones 132	2
141.5	142.5	réseau de neurones 142	2
151.5	152.5	réseau de neurones 152	2
161.5	162.5	réseau de neurones 162	2
171.5	172.5	réseau de neurones 172	2
181.5	182.5	réseau de neurones 182	2
191.5	192.5	réseau de neurones 192	2
201.5	202.5	réseau de neurones 202	2
211.5	212.5	réseau de neurones 212	2
222.5	223.5	réseau de neurones 223	2
232.5	233.5	réseau de neurones 233	2
242.5	243.5	réseau de neurones 243	2
252.5	253.5	réseau de neurones 253	2
262.5	263.5	réseau de neurones 263	2
272.5	273.5	réseau de neurones 273	2
282.5	283.5	réseau de neurones 283	2
292.5	293.5	réseau de neurones 293	2
302.5	303.5	réseau de neurones 303	2
312.5	313.5	réseau de neurones 313	2
322.5	323.5	réseau de neurones 323	2
333.5	334.5	réseau de neurones 334	2
343.5	344.5	réseau de neurones 344	2
353.5	354.5	réseau de neurones 354	2
363.5	364.5	réseau de neurones 364	2
373.5	374.5	réseau de neurones 374	2
383.5	384.5	réseau de neurones 384	2
393.5	394.5	réseau de neurones 394	2
403.5	404.5	réseau de neurones 404	2
413.5	414.5	réseau de neurones 414	2
423.5	424.5	réseau de neurones 424	2
433.5	434.5	réseau de neurones 434	2
444.5	445.5	réseau de neurones 445	2
454.5	455.5	réseau de neurones 455	2
464.5	465.5	réseau de neurones 465	2
474.5	475.5	réseau de neurones 475	2
484.5	485.5	réseau de neurones 485	2
494.5	495.5	réseau de neurones 495	2
